X,Y,OBJECTID,PlaceID,YearPlaceId,City,State,CityState,Year,AsOfDate,dockCt,dockNm,docklessCt,docklessNm,scooterCt,scooterNm,Type,Lat,Lon
-118.243685,34.052234,1001,CA0019,2019CA0019,Los Angeles,CA,"Los Angeles, CA",2019,201912,127,Metro Bike Share Los Angeles,1,LimeBike,2,"Jump, Lime",All micro,34.052234,-118.243685
-118.243685,34.052234,1002,CA0019,2018CA0019,Los Angeles,CA,"Los Angeles, CA",2018,201812,127,Metro Bike Share Los Angeles,1,LimeBike,3,"Bird, Jump, Lime",All micro,34.052234,-118.243685
-118.243685,34.052234,1003,CA0019,2016CA0019,Los Angeles,CA,"Los Angeles, CA",2016,201612,104,Metro Bike Share Los Angeles,0,-,0,-,Docked only,34.052234,-118.243685
-83.045754,42.331427,1004,MI00128,2018MI00128,Detroit,MI,"Detroit, MI",2018,201812,44,Mo Go,0,-,1,Lime,Docked and scooters,42.331427,-83.045754
-83.045754,42.331427,1005,MI00128,2019MI00128,Detroit,MI,"Detroit, MI",2019,201912,44,Mo Go,0,-,1,Bird,Docked and scooters,42.331427,-83.045754
-83.045754,42.331427,1006,MI00128,2017MI00128,Detroit,MI,"Detroit, MI",2017,201712,43,Mo Go,0,-,0,-,Docked only,42.331427,-83.045754
-77.312778,39.183611,1007,MD00118,2019MD00118,Boyds,MD,"Boyds, MD",2019,201912,2,Montgomery Parks,0,-,0,-,Docked only,39.183611,-77.312778
-77.312778,39.183611,1008,MD00118,2018MD00118,Boyds,MD,"Boyds, MD",2018,201812,2,Montgomery Parks,0,-,0,-,Docked only,39.183611,-77.312778
-77.312778,39.183611,1009,MD00118,2017MD00118,Boyds,MD,"Boyds, MD",2017,201712,2,Montgomery Parks,0,-,0,-,Docked only,39.183611,-77.312778
-74.477318,40.796562,1010,NJ00151,2019NJ00151,Morristown,NJ,"Morristown, NJ",2019,201912,3,Morris Moves,0,-,0,-,Docked only,40.796562,-74.477318
-74.477318,40.796562,1011,NJ00151,2018NJ00151,Morristown,NJ,"Morristown, NJ",2018,201812,3,Morris Moves,0,-,0,-,Docked only,40.796562,-74.477318
-114.306389,43.515,1012,ID0076,2018ID0076,Hailey,ID,"Hailey, ID",2018,201812,52,MR Bike Share,0,-,0,-,Docked only,43.515,-114.306389
-114.306389,43.515,1013,ID0076,2017ID0076,Hailey,ID,"Hailey, ID",2017,201712,52,MR Bike Share,0,-,0,-,Docked only,43.515,-114.306389
-114.306389,43.515,1014,ID0076,2016ID0076,Hailey,ID,"Hailey, ID",2016,201612,49,MR Bike Share,0,-,0,-,Docked only,43.515,-114.306389
-114.306389,43.515,1015,ID0076,2015ID0076,Hailey,ID,"Hailey, ID",2015,201512,45,MR Bike Share,0,-,0,-,Docked only,43.515,-114.306389
-86.781602,36.162664,1016,TN00192,2017TN00192,Nashville,TN,"Nashville, TN",2017,201712,36,Nashville B-cycle,1,Ofo,0,-,All bikes,36.162664,-86.781602
-86.781602,36.162664,1017,TN00192,2019TN00192,Nashville,TN,"Nashville, TN",2019,201912,35,Nashville B-cycle,0,-,3,"Jump, Lime, Lyft",Docked and scooters,36.162664,-86.781602
-86.781602,36.162664,1018,TN00192,2018TN00192,Nashville,TN,"Nashville, TN",2018,201812,35,Nashville B-cycle,0,-,3,"Bird, Lime, Lyft",Docked and scooters,36.162664,-86.781602
-86.781602,36.162664,1019,TN00192,2016TN00192,Nashville,TN,"Nashville, TN",2016,201612,36,Nashville B-cycle,0,-,0,-,Docked only,36.162664,-86.781602
-86.781602,36.162664,1020,TN00192,2015TN00192,Nashville,TN,"Nashville, TN",2015,201512,31,Nashville B-cycle,0,-,0,-,Docked only,36.162664,-86.781602
-90.071532,29.951066,1021,LA0094,2019LA0094,New Orleans,LA,"New Orleans, LA",2019,201912,93,New Orleans Bikeshare,0,-,0,-,Docked only,29.951066,-90.071532
-90.071532,29.951066,1022,LA0094,2018LA0094,New Orleans,LA,"New Orleans, LA",2018,201812,93,New Orleans Bikeshare,0,-,0,-,Docked only,29.951066,-90.071532
-90.071532,29.951066,1023,LA0094,2017LA0094,New Orleans,LA,"New Orleans, LA",2017,201712,75,New Orleans Bikeshare,0,-,0,-,Docked only,29.951066,-90.071532
-93.265011,44.977753,1024,MN00132,2019MN00132,Minneapolis,MN,"Minneapolis, MN",2019,201912,171,Nice Ride Minnesota,0,-,3,"Lime, Lyft, Spin",Docked and scooters,44.977753,-93.265011
-93.265011,44.977753,1025,MN00132,2017MN00132,Minneapolis,MN,"Minneapolis, MN",2017,201712,201,Nice Ride Minnesota,0,-,0,-,Docked only,44.977753,-93.265011
-93.265011,44.977753,1026,MN00132,2016MN00132,Minneapolis,MN,"Minneapolis, MN",2016,201612,200,Nice Ride Minnesota,0,-,0,-,Docked only,44.977753,-93.265011
-93.265011,44.977753,1027,MN00132,2018MN00132,Minneapolis,MN,"Minneapolis, MN",2018,201812,171,Nice Ride Minnesota,0,-,0,-,Docked only,44.977753,-93.265011
-93.265011,44.977753,1028,MN00132,2015MN00132,Minneapolis,MN,"Minneapolis, MN",2015,201512,169,Nice Ride Minnesota,0,-,0,-,Docked only,44.977753,-93.265011
-88.993687,40.484203,1029,IL0078,2018IL0078,Bloomington,IL,"Bloomington, IL",2018,201812,12,Normal (Bikeshare 309),1,Pace,1,Spin,All micro,40.484203,-88.993687
-88.993687,40.484203,1030,IL0078,2019IL0078,Bloomington,IL,"Bloomington, IL",2019,201912,12,Normal (Bikeshare 309),0,-,1,Lime,Docked and scooters,40.484203,-88.993687
-88.993687,40.484203,1031,IL0078,2017IL0078,Bloomington,IL,"Bloomington, IL",2017,201712,9,Normal (Bikeshare 309),0,-,0,-,Docked only,40.484203,-88.993687
-89.588986,40.693649,1032,IL0080,2019IL0080,Peoria,IL,"Peoria, IL",2019,201912,6,Peoria,0,-,0,-,Docked only,40.693649,-89.588986
-89.588986,40.693649,1033,IL0080,2018IL0080,Peoria,IL,"Peoria, IL",2018,201812,6,Peoria,0,-,0,-,Docked only,40.693649,-89.588986
-89.588986,40.693649,1034,IL0080,2017IL0080,Peoria,IL,"Peoria, IL",2017,201712,6,Peoria,0,-,0,-,Docked only,40.693649,-89.588986
-70.760556,43.075556,1035,NH00148,2019NH00148,Portsmouth,NH,"Portsmouth, NH",2019,201912,10,Portsmouth,0,-,0,-,Docked only,43.075556,-70.760556
-70.760556,43.075556,1036,NH00148,2018NH00148,Portsmouth,NH,"Portsmouth, NH",2018,201812,10,Portsmouth,0,-,0,-,Docked only,43.075556,-70.760556
-70.760556,43.075556,1037,NH00148,2017NH00148,Portsmouth,NH,"Portsmouth, NH",2017,201712,7,Portsmouth,0,-,0,-,Docked only,43.075556,-70.760556
