year, month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2018,7,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2466,380,55.88,30.18,136.75,0.02,157.18,10,14,31302,6624,3222,8407,2,13047
2018,7,9E,Endeavor Air Inc.,BOS,"Boston, MA: Logan International",452,95,13.57,6.1,39.8,0,35.52,21,1,8000,1051,563,2923,0,3463
2018,7,9E,Endeavor Air Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",197,54,11.57,1,17.67,0,23.76,6,2,3874,729,78,1279,0,1788
2018,7,9E,Endeavor Air Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",193,41,10.59,0,16.81,0,13.6,12,1,3732,1584,0,800,0,1348
2018,7,9E,Endeavor Air Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",196,43,9,1.95,13.87,0,18.18,13,1,3471,613,89,950,0,1819
2018,7,9E,Endeavor Air Inc.,DEN,"Denver, CO: Denver International",4,2,1.52,0,0.19,0,0.28,0,0,147,112,0,14,0,21
2018,7,9E,Endeavor Air Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",131,28,11.5,0.85,10.35,0,5.31,1,2,1622,658,74,546,0,344
2018,7,9E,Endeavor Air Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",1693,203,51.9,5.08,38.98,0,107.04,8,2,16995,4684,470,3020,0,8821
2018,7,9E,Endeavor Air Inc.,EWR,"Newark, NJ: Newark Liberty International",179,64,5.46,2.9,40.03,0,15.61,18,2,5955,402,151,3851,0,1551
2018,7,9E,Endeavor Air Inc.,IAD,"Washington, DC: Washington Dulles International",131,20,4.52,1,10.07,0,4.41,7,1,1875,185,88,1172,0,430
2018,7,9E,Endeavor Air Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",213,37,11.16,3.77,13.93,0,8.14,0,1,1704,438,168,574,0,524
2018,7,9E,Endeavor Air Inc.,JFK,"New York, NY: John F. Kennedy International",2127,475,55.15,21.31,227.71,0,170.83,139,3,49726,7172,3340,21704,0,17510
2018,7,9E,Endeavor Air Inc.,LGA,"New York, NY: LaGuardia",2668,626,54.32,36.91,329.28,0,205.49,139,6,67176,6118,6066,34996,0,19996
2018,7,9E,Endeavor Air Inc.,MCO,"Orlando, FL: Orlando International",19,2,1,0,0.36,0,0.64,0,0,62,23,0,14,0,25
2018,7,9E,Endeavor Air Inc.,MIA,"Miami, FL: Miami International",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7,9E,Endeavor Air Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",921,143,33.22,5.79,30.06,0,73.94,3,3,12264,3588,721,1592,0,6363
2018,7,9E,Endeavor Air Inc.,ORD,"Chicago, IL: Chicago O'Hare International",110,26,7.29,0,11.12,0,7.59,3,0,2110,406,0,961,0,743
2018,7,9E,Endeavor Air Inc.,PHL,"Philadelphia, PA: Philadelphia International",151,47,3.28,2.32,26.33,0,15.07,9,1,3867,170,173,1960,0,1564
2018,7,9E,Endeavor Air Inc.,TPA,"Tampa, FL: Tampa International",8,2,1,0,1,0,0,0,0,147,122,0,25,0,0
